2013.04.17 12:30 B E:\COMP213 Web Design\studentweb\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/FinalExam 300702887Final.html
2013.04.17 12:30 B E:\COMP213 Web Design\studentweb\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/FinalExam plane.jpg
2013.04.18 08:31 B G:\COMP213 Web Design\studentweb\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/FinalExam 300702887Final.html
2013.04.18 08:31 B G:\COMP213 Web Design\studentweb\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/FinalExam plane.jpg
2013.04.18 08:31 B G:\COMP213 Web Design\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/FinalExam WS_FTP.LOG
2013.04.18 09:29 B G:\COMP213 Web Design\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/FinalExam WS_FTP.LOG
2013.04.18 18:22 B G:\COMP213 Web Design\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/FinalExam WS_FTP.LOG
2013.09.05 09:05 B F:\COMP213 Web Design\studentweb\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/FinalExam 300702887Final.html
2013.09.05 09:05 B F:\COMP213 Web Design\studentweb\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/FinalExam plane.jpg
2013.09.05 09:05 B F:\COMP213 Web Design\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/FinalExam WS_FTP.LOG
2013.09.10 23:23 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/website/studentweb/FinalExam 300702887Final.html
2013.09.10 23:23 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/website/studentweb/FinalExam plane.jpg
2013.09.10 23:23 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/website/studentweb/FinalExam WS_FTP.LOG
2013.09.10 23:29 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/studentweb/FinalExam 300702887Final.html
2013.09.10 23:29 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/studentweb/FinalExam plane.jpg
2013.09.10 23:29 B F:\111semester 3\advanced web design\website\studentweb\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/studentweb/FinalExam WS_FTP.LOG
2013.09.12 03:36 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam 300702887Final.html
2013.09.12 03:36 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam plane.jpg
2013.09.12 03:36 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.12 22:31 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.12 22:38 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam 300702887Final.html
2013.09.12 22:38 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam plane.jpg
2013.09.12 22:38 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.15 20:16 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.20 21:19 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.23 13:09 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.23 13:51 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.09.24 10:20 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.10.05 11:26 B F:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
2013.11.12 13:01 B E:\111semester 3\advanced web design\website\webDesign1\FinalExam\300702887Final.html --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam 300702887Final.html
2013.11.12 13:01 B E:\111semester 3\advanced web design\website\webDesign1\FinalExam\plane.jpg --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam plane.jpg
2013.11.12 13:01 B E:\111semester 3\advanced web design\website\webDesign1\FinalExam\WS_FTP.LOG --> studentweb.cencol.ca /lartyukh/webDesign1/FinalExam WS_FTP.LOG
